OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID,Year,Month
77,2,2016-08-13,p1072601,1,4600,c292460,2016,8
77,4,2016-08-13,p1005891,2,3900,c292460,2016,8
77,5,2016-08-13,p1175481,1,1300,c292460,2016,8
85,6,2016-08-13,p1012751,1,1250,c260402,2016,8
103,2,2016-08-13,p1012751,1,1250,c147873,2016,8
109,3,2016-08-13,p1175481,1,1300,c017667,2016,8
119,2,2016-08-13,p1012751,1,1250,c118079,2016,8
119,6,2016-08-13,p1005891,1,1950,c118079,2016,8
119,13,2016-08-13,p1175481,1,1300,c118079,2016,8
121,1,2016-08-13,p1175481,1,1300,c218997,2016,8
5,6,2016-08-13,p1012751,1,1250,c082866,2016,8
11,1,2016-08-14,p1072601,1,4600,c234800,2016,8
19,4,2016-08-14,p1072601,1,4600,c275313,2016,8
23,3,2016-08-14,p1175481,1,1300,c261935,2016,8
37,6,2016-08-14,p1097821,1,1000,c017672,2016,8
59,2,2016-08-14,p1005891,2,3900,c038180,2016,8
79,2,2016-08-14,p1012751,1,1250,c017650,2016,8
83,5,2016-08-14,p1005891,1,1950,c143469,2016,8
5,4,2016-08-14,p1072601,3,13800,c063771,2016,8
13,1,2016-08-14,p1175481,1,1300,c199305,2016,8
15,1,2016-08-14,p1097821,3,3000,c308266,2016,8
19,1,2016-08-14,p1175481,1,1300,c150670,2016,8
27,3,2016-08-14,p1005891,1,1950,c238056,2016,8
31,4,2016-08-14,p1005891,1,1950,c353494,2016,8
31,6,2016-08-14,p1175481,1,1300,c353494,2016,8
39,1,2016-08-14,p1072601,1,4600,c171748,2016,8
43,2,2016-08-14,p1012751,1,1250,c191864,2016,8
45,1,2016-08-14,p1005891,3,5850,c107882,2016,8
51,2,2016-08-14,p1072601,1,4600,c204015,2016,8
57,1,2016-08-14,p1097821,1,1000,c261935,2016,8
61,1,2016-08-14,p1012751,1,1250,c227646,2016,8
61,8,2016-08-14,p1175481,1,1300,c227646,2016,8
61,9,2016-08-14,p1097821,1,1000,c227646,2016,8
77,11,2016-08-14,p1097821,2,2000,c238991,2016,8
103,1,2016-08-14,p1175481,1,1300,c046178,2016,8
33,6,2016-08-15,p1072601,1,4600,c135010,2016,8
65,2,2016-08-15,p1175481,1,1300,c354828,2016,8
67,4,2016-08-15,p1005891,1,1950,c372461,2016,8
81,1,2016-08-15,p1072601,1,4600,c093024,2016,8
81,6,2016-08-15,p1005891,1,1950,c093024,2016,8
87,3,2016-08-15,p1175481,1,1300,c278028,2016,8
95,1,2016-08-15,p1175481,1,1300,c119748,2016,8
75,2,2016-08-15,p1005891,2,3900,c377969,2016,8
79,11,2016-08-15,p1175481,1,1300,c274836,2016,8
79,12,2016-08-15,p1005891,1,1950,c274836,2016,8
97,4,2016-08-15,p1005891,1,1950,c143041,2016,8
99,2,2016-08-15,p1012751,1,1380,c085328,2016,8
107,2,2016-08-15,p1175481,1,1300,c026507,2016,8
117,3,2016-08-15,p1012751,1,1380,c275305,2016,8
117,5,2016-08-15,p1005891,1,1950,c275305,2016,8
145,7,2016-08-15,p1175481,1,1300,c312185,2016,8
145,11,2016-08-15,p1072601,1,4600,c312185,2016,8
5,2,2016-08-15,p1175481,1,1300,c075696,2016,8
9,1,2016-08-15,p1175481,1,1300,c322766,2016,8
211,8,2016-08-16,p1175481,1,1300,c200338,2016,8
31,7,2016-08-16,p1005891,1,1950,c122735,2016,8
33,3,2016-08-16,p1175481,1,1300,c038315,2016,8
33,9,2016-08-16,p1005891,1,1950,c038315,2016,8
47,6,2016-08-16,p1175481,1,1300,c141777,2016,8
53,2,2016-08-16,p1175481,1,1300,c144712,2016,8
119,4,2016-08-16,p1005891,1,1950,c060972,2016,8
139,8,2016-08-16,p1005891,1,1950,c147015,2016,8
145,1,2016-08-16,p1072601,1,4600,c130574,2016,8
161,7,2016-08-16,p1072601,1,4140,c051125,2016,8
171,7,2016-08-16,p1097821,1,1000,c360455,2016,8
209,4,2016-08-16,p1072601,1,4600,c372869,2016,8
237,2,2016-08-16,p1175481,1,1300,c050169,2016,8
257,1,2016-08-16,p1175481,1,1300,c353614,2016,8
263,3,2016-08-16,p1175481,1,1300,c037266,2016,8
269,10,2016-08-16,p1005891,1,1950,c047907,2016,8
35,2,2016-08-16,p1005891,1,1950,c026307,2016,8
39,1,2016-08-16,p1012751,1,1380,c153215,2016,8
47,18,2016-08-16,p1005891,2,3900,c067375,2016,8
65,5,2016-08-16,p1097821,2,2000,c070813,2016,8
79,7,2016-08-16,p1072601,-1,-4140,c385259,2016,8
81,1,2016-08-16,p1072601,1,4140,c385259,2016,8
89,2,2016-08-16,p1005891,1,1950,c056249,2016,8
91,3,2016-08-16,p1005891,1,1950,c230879,2016,8
91,6,2016-08-16,p1175481,1,1300,c230879,2016,8
103,8,2016-08-16,p1097821,1,1000,c255098,2016,8
107,2,2016-08-16,p1072601,1,4600,c028666,2016,8
119,5,2016-08-16,p1072601,1,4600,c165841,2016,8
125,8,2016-08-16,p1072601,1,4600,c189316,2016,8
171,4,2016-08-16,p1005891,1,1950,c298592,2016,8
175,1,2016-08-16,p1175481,1,1300,c048774,2016,8
185,1,2016-08-16,p1072601,2,9200,c093697,2016,8
