date,close,open,high,low,diff
2019년 03월 05일,"1,125.81","1,126.46","1,129.48","1,125.28",(0.0006)
2019년 03월 04일,"1,126.46","1,127.66","1,128.36","1,123.75",(0.0011)
2019년 03월 01일,"1,127.67","1,125.60","1,128.22","1,124.10",0.0016 
2019년 02월 28일,"1,125.90","1,118.50","1,126.77","1,117.10",0.0069 
2019년 02월 27일,"1,118.22","1,115.61","1,120.91","1,114.90",0.0023 
2019년 02월 26일,"1,115.61","1,116.06","1,120.22","1,114.64",(0.0004)
2019년 02월 25일,"1,116.06","1,123.31","1,124.31","1,115.50",(0.0062)
2019년 02월 22일,"1,122.99","1,125.63","1,127.70","1,121.20",(0.0023)
2019년 02월 21일,"1,125.63","1,123.22","1,127.45","1,122.00",0.0021 
2019년 02월 20일,"1,123.22","1,122.92","1,125.24","1,120.80",0.0003 
2019년 02월 19일,"1,122.92","1,126.10","1,129.52","1,122.50",(0.0031)
2019년 02월 18일,"1,126.40","1,126.44","1,127.73","1,123.30",0.0000 
2019년 02월 15일,"1,126.44","1,126.40","1,130.87","1,125.70",0.0000 
2019년 02월 14일,"1,126.40","1,125.59","1,129.58","1,123.80",0.0007 
2019년 02월 13일,"1,125.59","1,121.29","1,126.20","1,119.90",0.0038 
2019년 02월 12일,"1,121.29","1,125.99","1,128.17","1,120.80",(0.0042)
2019년 02월 11일,"1,125.99","1,124.05","1,127.78","1,122.76",0.0013 
2019년 02월 08일,"1,124.50","1,124.81","1,127.92","1,121.30",(0.0003)
2019년 02월 07일,"1,124.81","1,121.80","1,127.25","1,120.40",0.0027 
2019년 02월 06일,"1,121.80","1,117.57","1,122.39","1,117.20",0.0041 
2019년 02월 05일,"1,117.27","1,119.86","1,122.41","1,116.80",(0.0023)
2019년 02월 04일,"1,119.86","1,119.00","1,123.39","1,118.40",0.0004 
2019년 02월 01일,"1,119.40","1,112.40","1,120.31","1,111.60",0.0063 
2019년 01월 31일,"1,112.40","1,111.04","1,114.67","1,109.50",0.0012 
2019년 01월 30일,"1,111.04","1,118.01","1,119.74","1,109.40",(0.0062)
2019년 01월 29일,"1,118.01","1,118.87","1,122.50","1,116.30",(0.0008)
2019년 01월 28일,"1,118.87","1,118.51","1,120.73","1,115.40",0.0001 
2019년 01월 25일,"1,118.78","1,128.75","1,129.82","1,117.30",(0.0088)
2019년 01월 24일,"1,128.75","1,126.46","1,131.37","1,125.80",0.0020 
2019년 01월 23일,"1,126.46","1,131.77","1,132.77","1,125.80",(0.0047)
2019년 01월 22일,"1,131.77","1,133.80","1,134.28","1,128.90",(0.0023)
2019년 01월 21일,"1,134.40","1,126.36","1,134.70","1,124.20",0.0074 
2019년 01월 18일,"1,126.08","1,122.70","1,126.64","1,120.80",0.0030 
2019년 01월 17일,"1,122.70","1,120.78","1,125.35","1,119.81",0.0017 
2019년 01월 16일,"1,120.78","1,122.50","1,125.22","1,118.78",(0.0018)
