date,close,open,high,low,volume_k,diff
2017-09-21,50.55,50.72,50.81,50.07,580.57,0.0028
2017-09-20,50.41,49.84,50.65,49.75,35.49,0.0188
2017-09-19,49.48,49.91,50.42,49.33,143.38,-0.0086
2017-09-18,49.91,49.85,50.33,49.19,189.61,0.0004
2017-09-15,49.89,49.72,50.13,49.41,433.6,0
2017-09-14,49.89,49.31,50.5,49.15,709.04,0.012
2017-09-13,49.3,48.34,49.4,48.12,706.93,0.0222
2017-09-12,48.23,48.12,48.44,47.73,676.04,0.0033
2017-09-11,48.07,47.58,48.27,47,774.47,0.0124
2017-09-08,47.48,49.09,49.26,47.27,843.76,-0.0328
2017-09-07,49.09,49.14,49.33,48.63,702.51,-0.0014
2017-09-06,49.16,48.59,49.42,48.52,788.96,0.0103
2017-09-05,48.66,47.28,48.98,47.15,1.03M,0.0264
2017-09-04,47.41,47.31,47.66,47.16,0,0.0019
2017-09-03,47.32,47.31,47.42,47.3,0,0.0006
2017-09-01,47.29,47.08,47.35,46.56,742.81,0.0013
2017-08-31,47.23,45.95,47.47,45.58,915.71,0.0276
2017-08-30,45.96,46.31,46.72,45.84,882.98,-0.0103
2017-08-29,46.44,46.86,46.96,45.76,895.64,-0.0028
2017-08-28,46.57,47.89,48.2,46.15,921.29,-0.0272
2017-08-25,47.87,47.62,47.91,47.39,646.52,0.0093
2017-08-24,47.43,48.36,48.43,47.06,831.36,-0.0202
2017-08-23,48.41,47.64,48.5,47.53,701.69,0.0162
2017-08-22,47.64,47.45,48.03,47.2,38.4,0.0057
2017-08-21,47.37,48.72,48.75,47.03,129.19,-0.0235
2017-08-18,48.51,46.93,48.74,46.78,253.07,0.0302
2017-08-17,47.09,46.8,47.19,46.46,608.31,0.0066
2017-08-16,46.78,47.72,47.99,46.67,815.54,-0.0162
2017-08-15,47.55,47.49,47.9,47.02,770.36,-0.0008
2017-08-14,47.59,48.79,49.16,47.43,763.24,-0.0252
2017-08-11,48.82,48.52,48.98,47.98,804.24,0.0047
2017-08-10,48.59,49.68,50.22,48.35,1.14M,-0.0196
2017-08-09,49.56,49,49.72,48.9,858.25,0.0079
2017-08-08,49.17,49.31,49.79,48.86,924.24,-0.0045
2017-08-07,49.39,49.59,49.73,48.54,831.37,-0.0038
2017-08-04,49.58,48.95,49.64,48.5,745.66,0.0112
2017-08-03,49.03,49.59,49.96,48.78,837.76,-0.0113
2017-08-02,49.59,48.8,49.65,48.55,847.72,0.0087
2017-08-01,49.16,50.21,50.43,48.37,1.01M,-0.0201
2017-07-31,50.17,49.85,50.41,49.18,781.54,0.0093
2017-07-28,49.71,49.17,49.81,48.86,771.23,0.0137
2017-07-27,49.04,48.7,49.24,48.25,880.76,0.0059
2017-07-26,48.75,48.51,48.87,47.86,887.86,0.018
2017-07-25,47.89,46.46,48.66,46.38,885.7,0.0334
2017-07-24,46.34,45.62,46.53,45.4,707.91,0.0125
2017-07-21,45.77,46.91,47.21,45.54,769.44,-0.0218
2017-07-20,46.79,47.09,47.55,46.66,23.24,-0.007
2017-07-19,47.12,46.25,47.26,46.14,140.68,0.0155
2017-07-18,46.4,45.99,46.92,45.81,208.42,0.0083
2017-07-17,46.02,46.68,46.88,45.89,560.63,-0.0112
2017-07-14,46.54,46.08,46.74,45.8,742.9,0.01
2017-07-13,46.08,45.44,46.28,44.99,748.97,0.013
2017-07-12,45.49,45.74,46.48,45.11,963.51,0.01
2017-07-11,45.04,44.58,45.81,43.83,1.01M,0.0144
2017-07-10,44.4,44.35,44.84,43.65,848.57,0.0038
2017-07-07,44.23,45.35,45.42,43.78,975.91,-0.0283
2017-07-06,45.52,45.65,46.53,45.18,969.68,0.0086
