CustomerID,RegisterDate,Gender,BirthYear
c092647,2007-09-22,F,1959
c305406,2014-01-07,F,1970
c063225,2005-08-23,F,1966
c266979,2013-01-13,F,1955
c319857,2014-06-18,F,1980
c368084,2016-01-10,M,1983
c356987,2015-08-21,F,1993
c219424,2012-01-25,F,1968
c310515,2014-03-12,F,1976
c237261,2012-07-27,F,1961
c363963,2015-11-17,M,1986
c365676,2015-12-09,M,1976
c164815,2010-07-12,F,1947
c355980,2015-08-08,F,1975
c227582,2012-04-26,F,1968
c313997,2014-04-19,F,1983
c081327,2006-12-14,F,1965
c121442,2009-02-24,F,1975
c275453,2013-04-20,F,1970
c231393,2012-06-04,F,1979
c397789,2017-01-19,F,1966
c108978,2008-08-04,F,1970
c134102,2009-07-22,F,1960
c037863,2003-09-25,F,1973
c376203,2016-04-17,F,1978
c282489,2013-06-27,F,1978
c049713,2004-07-09,F,1964
c389635,2016-09-30,F,1991
c349508,2015-05-22,F,1979
c354639,2015-07-20,F,1968
c070813,2006-04-21,F,1953
c217406,2011-12-25,F,1973
c351567,2015-06-15,F,1972
c123891,2009-03-27,F,1971
c345534,2015-04-09,F,1980
c135606,2009-08-17,F,1974
c307527,2014-02-08,F,1979
c380445,2016-06-03,F,1969
c344309,2015-03-28,F,1967
c055296,2004-12-20,F,1969
c373818,2016-03-22,F,1982
c160648,2010-05-18,F,1969
c161057,2010-05-25,F,1949
c208175,2011-09-06,F,1975
c282146,2013-06-25,F,1968
c040572,2003-12-12,F,1966
c051771,2004-09-04,F,1943
c306678,2014-01-25,F,1972
c274185,2013-04-05,F,1962
c378333,2016-05-12,F,1976
c383761,2016-07-12,F,1979
c048601,2004-06-17,F,1966
c169810,2010-09-20,F,1975
c217913,2012-01-03,F,1957
c038352,2003-10-10,F,1957
c110521,2008-09-04,F,1972
c321748,2014-07-09,F,1976
c113572,2008-10-23,F,1972
c312668,2014-04-05,F,1972
c348103,2015-05-07,F,1979
c366163,2015-12-15,M,1984
c037443,2003-09-08,F,1963
c387273,2016-08-29,F,1983
c282942,2013-07-01,F,1980
c114512,2008-11-05,F,1966
c363110,2015-11-06,F,1982
c039296,2003-11-03,F,1973
c107328,2008-07-02,F,1969
c082557,2007-01-23,M,1957
c228671,2012-05-07,F,1968
c126194,2009-04-20,F,1970
c081832,2007-01-02,F,1967
c330733,2014-10-21,F,1964
c333025,2014-11-11,F,1967
c350776,2015-06-06,F,1983
c039743,2003-11-17,F,1979
c056249,2005-01-25,F,1952
c064125,2005-09-23,F,1970
c366686,2015-12-23,F,1981
c103446,2008-05-02,F,1975
c128377,2009-05-13,F,1974
c222157,2012-02-29,M,1973
c224604,2012-03-23,F,1973
c226048,2012-04-08,F,1975
c271068,2013-03-04,F,1958
c290510,2013-07-17,F,1975
c317422,2014-05-23,F,1980
c037575,2003-09-16,F,1966
c319644,2014-06-16,F,1978
c392240,2016-10-31,F,1988
c043530,2004-02-18,F,1967
c352409,2015-06-23,F,1985
c265859,2012-12-31,F,1955
c350641,2015-06-04,F,1967
c303674,2013-12-14,M,1969
c112275,2008-10-07,F,1970
c369369,2016-01-25,F,1968
c325792,2014-08-26,F,1964
c068245,2006-02-04,M,1957
c201389,2011-06-13,F,1973
c267786,2013-01-22,F,1976
c327775,2014-09-21,M,1955
c191125,2011-04-16,F,1973
c400263,2017-03-03,F,1980
c368315,2016-01-12,M,1987
c226662,2012-04-16,F,1965
c112745,2008-10-13,M,1971
c263144,2012-11-21,F,1961
c082255,2007-01-15,F,1977
c275002,2013-04-15,F,1963
c338921,2015-01-23,F,1958
c070216,2006-04-06,F,1963
c394239,2016-11-26,F,1960
c090766,2007-07-23,F,1973
c211661,2011-10-14,F,1954
c117627,2008-12-29,F,1962
c383352,2016-07-06,M,1979
c205213,2011-07-28,F,1961
c346820,2015-04-22,F,1977
c277016,2013-05-09,F,1980
c104034,2008-05-13,M,1976
c031556,2003-03-18,F,1971
c328823,2014-10-01,F,1982
c058113,2005-03-24,F,1969
c274891,2013-04-13,F,1948
c312359,2014-04-02,F,1977
c317700,2014-05-26,F,1978
c296357,2013-09-18,F,1985
c084130,2007-03-07,F,1970
c096369,2008-01-09,F,1972
c147015,2010-01-13,F,1948
c061923,2005-06-29,F,1967
c220756,2012-02-12,M,1973
c125491,2009-04-13,F,1962
c127709,2009-05-06,F,1978
c089556,2007-06-15,F,1973
c280471,2013-06-10,F,1969
c371753,2016-02-29,F,1966
c339767,2015-02-03,F,1982
c399196,2017-02-15,F,1973
c038104,2003-10-02,F,1965
c099967,2008-03-31,F,1969
c345780,2015-04-12,F,1973
c208551,2011-09-09,M,1938
c348180,2015-05-07,F,1987
c173540,2010-10-28,F,1970
c329288,2014-10-06,F,1978
c184775,2011-02-12,F,1939
c257773,2012-09-26,M,1974
c216646,2011-12-12,F,1967
c052367,2004-09-22,F,1973
c095005,2007-11-23,F,1962
c357192,2015-08-24,F,1977
c368078,2016-01-10,M,1985
c121303,2009-02-23,F,1968
c149901,2010-02-23,F,1971
c293483,2013-08-19,F,1941
c316682,2014-05-16,F,1963
c319545,2014-06-15,M,1972
c337078,2014-12-31,F,1962
c081187,2006-12-11,F,1936
c026307,2002-10-04,F,1968
c111432,2008-09-25,F,1976
c264449,2012-12-08,F,1976
c192673,2011-04-30,F,1979
c216253,2011-12-05,F,1980
c280876,2013-06-13,F,1982
c290936,2013-07-22,F,1978
c226019,2012-04-07,F,1963
c325765,2014-08-25,F,1979
c078992,2006-10-14,M,1970
c118110,2009-01-06,F,1981
c131702,2009-06-23,F,1959
c261447,2012-11-02,F,1976
c270946,2013-03-04,M,1970
c017567,2002-07-31,F,1946
c234998,2012-07-09,F,1979
c239107,2012-08-21,F,1980
c200289,2011-06-01,F,1977
c232687,2012-06-16,F,1967
