Date,ProductID,Grade,KG,ProductName,Price
20190122,22500,2,5,토마토,10625
20190122,22500,3,10,토마토,14382
20190122,22500,3,5,토마토,6758
20190122,23100,0,20,무,8373
20190122,23100,1,20,무,7498
20190122,23100,2,20,무,6513
20190122,23100,3,20,무,3644
20190122,23200,1,20,당근,22950
20190122,23200,2,20,당근,20792
20190122,23200,3,20,당근,15992
20190122,24400,0,1,양파,825
20190122,24400,0,12,양파,11083
20190122,24400,0,15,양파,11009
20190122,24400,0,20,양파,14588
20190122,24400,1,1,양파,569
20190122,24400,1,12,양파,5553
20190122,24400,1,15,양파,9292
20190122,24400,1,20,양파,11672
20190122,24400,2,1,양파,408
20190122,24400,2,12,양파,4336
20190122,24400,2,15,양파,7236
20190122,24400,2,20,양파,7415
20190122,24400,3,1,양파,279
20190122,24400,3,12,양파,3066
20190122,24400,3,15,양파,5232
20190122,24400,3,20,양파,5527
20190123,15100,0,10,고구마,48734
20190123,15100,1,10,고구마,33578
20190123,15100,2,10,고구마,22692
20190123,15100,3,10,고구마,12620
20190123,22500,0,10,토마토,24633
20190123,22500,0,5,토마토,15111
20190123,22500,1,10,토마토,19415
20190123,22500,1,5,토마토,13489
20190123,22500,2,10,토마토,17449
20190123,22500,2,5,토마토,10802
20190123,22500,3,10,토마토,10303
20190123,22500,3,5,토마토,6614
20190123,23100,0,20,무,9122
20190123,23100,1,20,무,8066
20190123,23100,2,20,무,6897
20190123,23100,3,20,무,3604
20190123,23200,1,20,당근,24209
20190123,23200,2,20,당근,21821
20190123,23200,3,20,당근,18861
20190123,24400,0,1,양파,818
20190123,24400,0,12,양파,10739
20190123,24400,0,15,양파,10862
20190123,24400,0,20,양파,14492
20190123,24400,1,1,양파,574
20190123,24400,1,12,양파,5614
20190123,24400,1,15,양파,9353
20190123,24400,1,20,양파,12257
20190123,24400,2,1,양파,408
20190123,24400,2,12,양파,4292
20190123,24400,2,15,양파,7144
20190123,24400,2,20,양파,8235
20190123,24400,3,1,양파,262
20190123,24400,3,12,양파,2912
20190123,24400,3,15,양파,4701
20190123,24400,3,20,양파,6339
20190124,15100,0,10,고구마,41606
20190124,15100,1,10,고구마,29961
20190124,15100,2,10,고구마,20918
20190124,15100,3,10,고구마,10231
20190124,22500,0,10,토마토,30105
20190124,22500,0,5,토마토,16731
20190124,22500,1,10,토마토,21404
20190124,22500,1,5,토마토,15315
20190124,22500,2,10,토마토,19785
